time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,focus
17,out,slow
18,out,focus
19,out,focus
20,out,focus
21,out,focus
22,out,focus
23,out,striving
24,out,striving
25,out,striving
26,out,striving
27,out,striving
28,out,striving
29,out,striving
30,out,premark
31,out,mark
32,out,mark
33,out,mark
34,out,mark
35,out,mark
36,out,mark
37,out,mark
38,out,mark
39,out,mark
40,out,mark
41,out,mark
42,out,mark
43,out,mark
44,out,mark
45,out,mark
46,out,mark
47,out,mark
48,out,mark
49,out,mark
50,out,mark
51,out,mark
52,out,mark
53,out,mark
54,out,mark
55,out,mark
56,out,mark
57,out,mark
58,out,mark
59,out,mark
60,out,mark
61,out,with_op
62,out,with_op
