time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,focus
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,stop
31,out,stop
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,focus
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,focus
48,out,slow
49,out,slow
50,out,slow
51,out,focus
52,out,fast
53,out,fast
54,out,fast
55,out,fast
56,out,focus
57,out,fast
58,out,fast
59,out,fast
60,out,fast
61,out,fast
62,out,fast
63,out,fast
64,out,fast
65,out,stop
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,fast
72,out,fast
73,out,fast
74,out,fast
75,out,fast
76,out,fast
77,out,fast
78,out,fast
79,out,focus
80,out,focus
81,out,focus
82,out,focus
83,out,focus
84,out,striving
85,out,striving
86,out,premark
87,out,premark
88,out,premark
89,out,mark
90,out,mark
91,out,mark
92,out,mark
93,out,mark
94,out,mark
95,out,mark
96,out,mark
97,out,mark
98,out,mark
99,out,mark
100,out,mark
101,out,mark
102,out,mark
103,out,mark
104,out,mark
105,out,mark
106,out,mark
107,out,mark
108,out,mark
109,out,mark
110,out,mark
111,out,mark
112,out,between
113,out,mark
114,out,mark
115,out,mark
116,out,mark
117,out,mark
118,out,mark
119,out,mark
120,out,mark
121,out,mark
122,out,mark
123,out,mark
124,out,mark
125,out,mark
126,out,mark
127,out,mark
128,out,mark
129,out,mark
130,out,mark
131,out,mark
132,out,mark
133,out,mark
134,out,mark
135,out,mark
136,out,mark
137,out,mark
138,out,mark
